Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/29/2024,"Online RealTime payment to Robinhood Securities transaction#: 2192768 REFERENCE#:7002192768RX 07/29",-1000.00,BILLPAY,15096.37,,
DEBIT,07/29/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-19.34,ACH_DEBIT,16096.37,,
DEBIT,07/29/2024,"Zelle payment to PHUONG 21547069850",-1500.00,QUICKPAY_DEBIT,16115.71,,
DEBIT,07/23/2024,"Payment to Chase card ending in 0687 07/23",-190.96,LOAN_PMT,17615.71,,
DEBIT,07/22/2024,"Payment to Chase card ending in 8045 07/22",-322.14,LOAN_PMT,17806.67,,
DEBIT,07/18/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-18.74,ACH_DEBIT,18128.81,,
CREDIT,07/18/2024,"Zelle payment from JAEYOUNG KIM BACkqxl7mmeq",78.00,PARTNERFI_TO_CHASE,18147.55,,
CREDIT,07/17/2024,"Zelle payment from TIN NGUYEN BACk231v7gsq",500.00,PARTNERFI_TO_CHASE,18069.55,,
DEBIT,07/15/2024,"Online RealTime payment to Robinhood Securities transaction#: 2063465 REFERENCE#:7002063465RX 07/15",-1000.00,BILLPAY,17569.55,,
DEBIT,07/15/2024,"Payment to Chase card ending in 8045 07/15",-687.30,LOAN_PMT,18569.55,,
DEBIT,07/15/2024,"Payment to Chase card ending in 0687 07/15",-41.76,LOAN_PMT,19256.85,,
DEBIT,07/15/2024,"Zelle payment to REYNIR 21399746962",-121.00,QUICKPAY_DEBIT,19298.61,,
DEBIT,07/15/2024,"Zelle payment to JASON JPM99ak9s17a",-95.00,CHASE_TO_PARTNERFI,19419.61,,
DEBIT,07/15/2024,"Zelle payment to SOO YOUNG JPM99ak9fy5z",-130.00,CHASE_TO_PARTNERFI,19514.61,,
CREDIT,07/15/2024,"Zelle payment from JAEYOUNG KIM BACqhi1uhee6",400.00,PARTNERFI_TO_CHASE,19644.61,,
CREDIT,07/15/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2212.83,ACH_CREDIT,19244.61,,
DEBIT,07/11/2024,"VENMO* Tin Visa Direct NY                    07/11",-100.00,DEBIT_CARD,17031.78,,
DEBIT,07/10/2024,"Payment to Chase card ending in 8045 07/10",-1000.00,LOAN_PMT,17131.78,,
DEBIT,07/08/2024,"Payment to Chase card ending in 8045 07/08",-154.53,LOAN_PMT,18131.78,,
DEBIT,07/08/2024,"Payment to Chase card ending in 0687 07/08",-107.15,LOAN_PMT,18286.31,,
CREDIT,07/08/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1503.79,MISC_CREDIT,18393.46,,
DEBIT,07/02/2024,"CITI AUTOPAY     PAYMENT    081423026772329 WEB ID: CITICARDAP",-818.64,ACH_DEBIT,16889.67,,
DEBIT,07/01/2024,"Zelle payment to PHUONG 21260989295",-1500.00,QUICKPAY_DEBIT,17708.31,,
CREDIT,07/01/2024,"Zelle payment from SANTIAGO D TERRAZAS 21259772004",100.00,QUICKPAY_CREDIT,19208.31,,
CREDIT,07/01/2024,"Zelle payment from TIN NGUYEN BACjv2ffjuov",957.14,PARTNERFI_TO_CHASE,19108.31,,
CREDIT,07/01/2024,"Zelle payment from SANTIAGO D TERRAZAS 21259772774",1000.00,QUICKPAY_CREDIT,18151.17,,
DEBIT,06/28/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-13.09,ACH_DEBIT,17151.17,,
CREDIT,06/28/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2212.85,ACH_CREDIT,17164.26,,
DEBIT,06/27/2024,"RMTLY* Q3E81 WWW.REMITLY.C WA                06/27",-1600.00,DEBIT_CARD,14951.41,,
CREDIT,06/25/2024,"Zelle payment from TIN NGUYEN BACm0sv8uy6c",1000.00,PARTNERFI_TO_CHASE,16551.41,,
CREDIT,06/25/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1500.00,MISC_CREDIT,15551.41,,
DEBIT,06/24/2024,"Zelle payment to PAWARISORN JPM99aj8hfvn",-150.00,CHASE_TO_PARTNERFI,14051.41,,
DEBIT,06/24/2024,"Payment to Chase card ending in 8045 06/24",-227.73,LOAN_PMT,14201.41,,
DEBIT,06/20/2024,"Zelle payment to PAWARISORN JPM99aiz6arv",-200.00,CHASE_TO_PARTNERFI,14429.14,,
DEBIT,06/17/2024,"REMITLY INC      REMITTANCE K9SEUYH8QP97E5N WEB ID: 1452441988",-4000.00,ACH_DEBIT,14629.14,,
DEBIT,06/14/2024,"WESTERN UNION       CAPTURE 416682999780258 WEB ID: 9222993574",-2503.99,MISC_DEBIT,18629.14,,
CREDIT,06/14/2024,"FPT USA CORP     PAYROLL                    PPD ID: 4260302465",2212.83,ACH_CREDIT,21133.13,,
CREDIT,06/14/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",5000.00,MISC_CREDIT,18920.30,,
DEBIT,06/12/2024,"TARGET DEBIT CRD ACH TRAN   000689526120229 POS ID: 1410215170",-21.89,ACH_DEBIT,13920.30,,
DEBIT,06/12/2024,"Payment to Chase card ending in 8045 06/12",-703.13,LOAN_PMT,13942.19,,
